Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java/garbageCollectLedgers;4.0.0;13;4;4;0;1;2;1;2;1;1;3;2;5;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java/doGc;4.0.0;15;3;3;0;3;2;1;1;1;0;0;0;0;0;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java/parseLayout;4.0.0;30;6;6;0;1;2;4;6;1;4;17;9;26;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java/newLedgerManager;4.0.0;39;11;13;0;2;4;7;4;1;4;59;10;69;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/close;4.0.0;7;2;2;0;0;2;2;0;1;0;0;0;0;0;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/newLedgerPath;4.0.0;43;6;6;0;1;2;1;3;1;4;15;9;24;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/processResult;4.0.0;39;6;6;0;4;2;7;3;1;4;13;8;21;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/processResult;4.0.0;6;2;1;0;4;1;1;0;1;2;2;0;2;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/run;4.0.0;11;3;3;0;0;2;1;0;1;1;2;0;2;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/processResult;4.0.0;7;3;3;0;3;2;1;0;1;1;2;0;2;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/getLedgerIdFromGenPath;4.0.0;8;2;2;0;1;2;3;2;1;1;5;4;9;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/asyncProcessLevelNodes;4.0.0;22;3;2;0;6;1;1;1;1;2;4;0;4;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/processResult;4.0.0;16;3;2;0;3;1;2;1;1;2;4;0;4;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/processResult;4.0.0;8;2;1;0;4;1;3;1;1;2;2;0;2;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/garbageCollectLedgers;4.0.0;15;6;8;0;1;4;1;4;1;3;17;2;19;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/doGcByLevel;4.0.0;24;2;1;0;3;1;9;6;1;3;28;3;31;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/doGc;4.0.0;15;3;3;0;3;2;1;1;1;1;10;0;10;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/process;4.0.0;42;4;3;0;6;1;6;7;1;0;0;0;0;0;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java/create;4.0.0;43;19;1;0;1;1;1;0;1;5;10;0;10;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java/getMessage;4.0.0;40;20;1;0;1;1;1;0;1;5;8;0;8;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java/processResult;4.0.0;16;4;5;0;4;3;4;3;1;3;8;2;10;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java/readBookiesBlocking;4.0.0;19;3;3;0;0;2;4;2;1;2;11;0;11;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java/processResult;4.0.0;7;2;2;0;4;2;1;0;1;1;5;0;5;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java/getNewBookies;4.0.0;8;1;0;0;1;0;1;0;2;0;0;0;0;0;No
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java/getAdditionalBookies;4.0.0;23;5;5;0;2;2;7;3;2;0;0;0;0;0;No
