Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java/executeOn;0.9.0;15;5;4;3;1;1;10;4;1;2;8;2;10;2;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/parseSchemasList;0.9.0;44;10;12;5;1;4;11;10;3;1;22;24;46;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generateSchemas;0.9.0;38;18;18;5;1;2;8;7;1;1;20;12;32;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generateSchema;0.9.0;29;6;7;2;2;3;4;3;1;1;11;0;11;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generatePrimaryKeys;0.9.0;23;5;6;2;2;3;4;3;1;1;2;0;2;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generateIndexes;0.9.0;23;5;6;2;2;3;4;3;1;1;14;0;14;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generateForeignKeys;0.9.0;23;5;6;2;2;3;4;3;1;1;11;0;11;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generateTables;0.9.0;50;18;19;5;4;3;11;10;1;5;33;10;43;3;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/isAllowedTable;0.9.0;29;14;15;4;2;3;6;5;1;3;24;8;32;2;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generatePrimaryKeys;0.9.0;40;11;11;5;4;2;12;10;1;3;17;4;21;2;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generateIndexes;0.9.0;50;14;14;5;4;2;13;11;1;3;26;5;31;3;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generateForeignKeys;0.9.0;74;21;24;6;4;5;20;18;1;7;52;12;64;5;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java/generateSequences;0.9.0;28;9;9;4;4;2;7;5;1;3;19;4;23;3;Yes
